ID_partida,Tipo_IA,Puntuacion_Final,Resultado,Cartas,Plantado
234,IA_medio,17,Derrota,3,True
234,IA_dificil,18,Derrota,5,True
235,IA_facil,17,Derrota,5,True
235,IA_medio,18,Derrota,6,True
235,IA_dificil,20,Victoria,6,True
236,IA_facil,20,Victoria,4,True
236,IA_medio,18,Derrota,5,True
236,IA_dificil,19,Derrota,7,True
237,IA_facil,17,Derrota,5,True
237,IA_medio,19,Victoria,4,True
237,IA_dificil,17,Derrota,4,True
238,IA_facil,19,Empate,7,False
238,IA_medio,17,Derrota,4,True
238,IA_dificil,19,Empate,5,True
239,IA_facil,17,Derrota,5,True
239,IA_medio,18,Derrota,4,True
